,index,price,year,manufacturer,model,nummodel,cylinders,numcylinders,odometer,title_status,numtitle_status,transmission,numtransmission,drive,numdrive,size,numsize,type,numtype,paint_color,numpaint_color,state,numstate
14613,14613,9995,2004,ford,f250,1118,8 cylinders,2,153976.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,nv,33
14614,14614,26995,2019,ford,transit,2077,6 cylinders,1,30703.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,nv,33
14615,14615,8995,2001,chevrolet,silverado 1500,1798,6 cylinders,1,136585.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,brown,2,nv,33
14616,14616,10995,2002,chevrolet,express g3500,941,8 cylinders,2,53058.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,nv,33
14617,14617,1500,2005,ford,fivehundred,1217,6 cylinders,1,160000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,nv,33
14618,14618,6999,2006,toyota,sienna xle,1790,6 cylinders,1,152389.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,white,10,nv,33
14619,14619,6500,2009,honda,fit,1196,4 cylinders,0,106317.0,clean,0,automatic,0,fwd,1,full-size,1,hatchback,3,blue,1,nv,33
14620,14620,16995,2015,ford,transit,2077,6 cylinders,1,80384.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,silver,9,nv,33
14621,14621,9500,2002,toyota,4runner sr5,48,6 cylinders,1,144709.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,white,10,nv,33
14622,14622,14500,2006,toyota,tacoma trd,1976,6 cylinders,1,144704.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,silver,9,nv,33
14623,14623,17995,2016,ford,transit,2077,6 cylinders,1,81037.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,silver,9,nv,33
14624,14624,7500,2012,toyota,prius,1604,4 cylinders,0,150698.0,clean,0,automatic,0,fwd,1,full-size,1,hatchback,3,black,0,nv,33
14625,14625,7500,2012,toyota,prius,1604,4 cylinders,0,150698.0,clean,0,automatic,0,fwd,1,full-size,1,hatchback,3,black,0,nv,33
14626,14626,7500,2007,ford,expedition limited rsc,856,8 cylinders,2,160000.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,black,0,nv,33
14627,14627,8500,2012,ford,escape xlt,813,4 cylinders,0,97000.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,custom,3,nv,33
14628,14628,12995,2004,ford,econoline,676,8 cylinders,2,83421.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,nv,33
14629,14629,8995,2013,toyota,prius persona series,1631,4 cylinders,0,138200.0,clean,0,automatic,0,fwd,1,mid-size,2,hatchback,3,red,8,nv,33
14630,14630,14995,2005,ford,thunderbird premium,2049,8 cylinders,2,83400.0,clean,0,automatic,0,rwd,2,full-size,1,convertible,1,blue,1,nv,33
14631,14631,1000,2007,honda,accord,63,6 cylinders,1,112744.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,black,0,nv,33
14632,14632,6295,2014,chevrolet,spark,1885,4 cylinders,0,96000.0,clean,0,automatic,0,fwd,1,compact,0,hatchback,3,purple,7,nv,33
14633,14633,5900,2005,honda,accord ex,82,6 cylinders,1,137771.0,clean,0,automatic,0,fwd,1,full-size,1,hatchback,3,red,8,nv,33
14634,14634,9000,2007,toyota,rav4 xle,1717,4 cylinders,0,160000.0,clean,0,automatic,0,fwd,1,compact,0,SUV,0,white,10,nv,33
14635,14635,3900,2003,toyota,corolla s,451,4 cylinders,0,205000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,nv,33
14636,14636,3500,2009,honda,fit,1196,4 cylinders,0,160000.0,clean,0,automatic,0,fwd,1,compact,0,coupe,2,blue,1,nv,33
14637,14637,3300,2005,toyota,camry,262,4 cylinders,0,161748.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,nv,33
14638,14638,6500,2010,honda,civic,342,4 cylinders,0,130000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,black,0,nv,33
14639,14639,1800,2005,ford,taurus,2017,6 cylinders,1,155000.0,clean,0,automatic,0,rwd,2,mid-size,2,sedan,6,blue,1,nv,33
14640,14640,2750,2002,honda,accord ex,82,4 cylinders,0,210500.0,clean,0,automatic,0,rwd,2,compact,0,sedan,6,black,0,nv,33
14641,14641,17000,2002,ford,thunderbird convertible,2047,8 cylinders,2,53000.0,clean,0,automatic,0,rwd,2,full-size,1,convertible,1,yellow,11,nv,33
14642,14642,7870,2010,toyota,corolla,433,4 cylinders,0,184607.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,white,10,nv,33
14643,14643,5310,2001,ford,crown victoria,528,8 cylinders,2,149590.0,clean,0,automatic,0,rwd,2,full-size,1,sedan,6,blue,1,nv,33
14644,14644,6425,2007,chevrolet,trailblazer,2059,6 cylinders,1,163091.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,blue,1,nv,33
14645,14645,5950,2007,chevrolet,malibu,1446,6 cylinders,1,155695.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,nv,33
14646,14646,5329,2004,honda,civic,342,4 cylinders,0,114236.0,clean,0,automatic,0,fwd,1,sub-compact,3,sedan,6,white,10,nv,33
14647,14647,5995,2003,toyota,camry,262,6 cylinders,1,105286.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,silver,9,nv,33
14648,14648,7498,2009,ford,expedition,833,8 cylinders,2,195672.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,red,8,nv,33
14649,14649,10199,2013,toyota,corolla,433,4 cylinders,0,74614.0,clean,0,automatic,0,4wd,0,compact,0,sedan,6,white,10,nv,33
14650,14650,13995,2012,honda,cr-v,480,4 cylinders,0,103015.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,grey,5,nv,33
14651,14651,10995,2010,toyota,prius,1604,4 cylinders,0,80239.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,nv,33
14652,14652,5895,2006,ford,f-150,951,4 cylinders,0,129055.0,clean,0,automatic,0,fwd,1,full-size,1,pickup,5,blue,1,nv,33
14653,14653,6800,2008,honda,crv,572,4 cylinders,0,150000.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,black,0,nv,33
14654,14654,1900,2001,toyota,sienna xle,1790,6 cylinders,1,132000.0,clean,0,automatic,0,fwd,1,mid-size,2,van,7,custom,3,nv,33
14655,14655,4500,2006,honda,pilot,1567,6 cylinders,1,194000.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,black,0,nv,33
14656,14656,8500,2013,honda,civic lx,372,4 cylinders,0,120000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,black,0,nv,33
14657,14657,3500,2001,toyota,corolla ce,438,4 cylinders,0,133517.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,custom,3,nv,33
14658,14658,10100,2017,ford,focus,1237,4 cylinders,0,76500.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,nv,33
14659,14659,10000,2005,toyota,sequoia,1758,8 cylinders,2,236000.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,white,10,nv,33
14660,14660,29500,2010,chevrolet,express awd van,930,8 cylinders,2,66000.0,clean,0,automatic,0,4wd,0,full-size,1,van,7,white,10,nv,33
14661,14661,3000,2008,toyota,scion tc,1749,4 cylinders,0,179000.0,clean,0,automatic,0,fwd,1,mid-size,2,coupe,2,grey,5,nv,33
14662,14662,9900,2012,honda,accord ex sedan,92,4 cylinders,0,125897.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,grey,5,nv,33
14663,14663,4500,2005,toyota,corolla ce,438,4 cylinders,0,135000.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,white,10,nv,33
14664,14664,11999,2014,ford,fusion energi,1302,4 cylinders,0,72300.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,red,8,nv,33
14665,14665,7000,2008,ford,edge limited,706,6 cylinders,1,150000.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,grey,5,nv,33
14666,14666,6750,2009,toyota,prius touring,1643,4 cylinders,0,130836.0,clean,0,automatic,0,fwd,1,full-size,1,hatchback,3,blue,1,nv,33
14667,14667,19995,2013,chevrolet,silverado 2500hd,1823,8 cylinders,2,140441.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,nv,33
14668,14668,14995,2014,ford,econoline cargo van,679,8 cylinders,2,162819.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,nv,33
14669,14669,14995,2012,chevrolet,express cargo van,934,8 cylinders,2,155622.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,nv,33
14670,14670,26995,2019,chevrolet,colorado,420,4 cylinders,0,34324.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,blue,1,nv,33
14671,14671,9900,2008,toyota,highlander limited awd,1368,6 cylinders,1,150000.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,grey,5,nv,33
14672,14672,14900,2016,chevrolet,malibu,1446,4 cylinders,0,47000.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,silver,9,nv,33
14673,14673,24900,2018,toyota,camry,262,4 cylinders,0,24338.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,red,8,nv,33
14674,14674,1000,2007,honda,accord,63,6 cylinders,1,112744.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,black,0,nv,33
14675,14675,3900,2007,toyota,scion tc,1749,4 cylinders,0,160000.0,clean,0,manual,1,fwd,1,full-size,1,hatchback,3,grey,5,nv,33
14676,14676,4800,2012,ford,fiesta ses,1190,4 cylinders,0,123000.0,clean,0,manual,1,fwd,1,full-size,1,hatchback,3,red,8,nv,33
14677,14677,12500,2007,chevrolet,silverado 2500hd,1823,8 cylinders,2,199000.0,rebuilt,4,automatic,0,rwd,2,full-size,1,pickup,5,white,10,nv,33
14678,14678,7750,2014,ford,focus se,1246,4 cylinders,0,89684.0,clean,0,automatic,0,rwd,2,full-size,1,sedan,6,grey,5,nv,33
14679,14679,2800,2006,ford,freestar,1284,6 cylinders,1,192791.0,clean,0,automatic,0,fwd,1,mid-size,2,mini-van,4,grey,5,nv,33
14680,14680,18300,2015,ford,mustang,1497,4 cylinders,0,68300.0,clean,0,automatic,0,rwd,2,mid-size,2,mini-van,4,black,0,nv,33
14681,14681,6800,2014,chevrolet,sonic,1874,4 cylinders,0,75000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,red,8,nv,33
14682,14682,2795,2003,ford,explorer,870,6 cylinders,1,147055.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,white,10,nv,33
14683,14683,2750,2002,honda,accord ex,82,4 cylinders,0,210500.0,clean,0,automatic,0,4wd,0,compact,0,sedan,6,black,0,nv,33
14684,14684,3000,2004,ford,e150 econoline,639,8 cylinders,2,189037.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,nv,33
14685,14685,4200,2013,toyota,scion xb,1752,4 cylinders,0,200000.0,clean,0,automatic,0,fwd,1,compact,0,hatchback,3,white,10,nv,33
14686,14686,18900,2004,chevrolet,corvette,468,8 cylinders,2,56000.0,clean,0,manual,1,rwd,2,mid-size,2,convertible,1,black,0,nv,33
14687,14687,11000,2012,honda,accord ex-l v6,106,6 cylinders,1,116492.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,grey,5,nv,33
14688,14688,6500,2001,ford,mustang,1497,8 cylinders,2,152000.0,clean,0,manual,1,rwd,2,mid-size,2,coupe,2,red,8,nv,33
14689,14689,5000,2012,honda,fit sport,1208,4 cylinders,0,106321.0,clean,0,automatic,0,fwd,1,full-size,1,coupe,2,red,8,nv,33
14690,14690,6500,2001,toyota,rav4,1684,4 cylinders,0,102166.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,red,8,nv,33
14691,14691,12500,2011,honda,pilot,1567,6 cylinders,1,114000.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,silver,9,nv,33
14692,14692,19995,2012,chevrolet,silverado 1500,1798,6 cylinders,1,52824.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,nv,33
14693,14693,11995,2008,ford,f-150,951,8 cylinders,2,74419.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,blue,1,nv,33
14694,14694,13995,2012,honda,cr-v,480,4 cylinders,0,103015.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,grey,5,nv,33
14695,14695,2500,2005,chevrolet,impala,1403,6 cylinders,1,225000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,nv,33
14696,14696,4500,2005,toyota,corolla ce,438,4 cylinders,0,135000.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,white,10,nv,33
14697,14697,18500,2015,ford,f-150 xl supercab,990,6 cylinders,1,112000.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,silver,9,nv,33
14698,14698,6200,2011,toyota,prius,1604,4 cylinders,0,62750.0,rebuilt,4,automatic,0,fwd,1,compact,0,coupe,2,white,10,nv,33
14699,14699,5000,2012,honda,fit sport,1208,4 cylinders,0,106321.0,clean,0,automatic,0,fwd,1,full-size,1,coupe,2,red,8,nv,33
14700,14700,9990,2008,toyota,highlander,1350,6 cylinders,1,140790.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,yellow,11,nv,33
14701,14701,26995,2015,chevrolet,silverado 1500,1798,6 cylinders,1,126853.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,red,8,nv,33
14702,14702,19995,2012,chevrolet,silverado 1500,1798,6 cylinders,1,62200.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,nv,33
14703,14703,19995,2007,chevrolet,silverado 2500hd classic,1826,8 cylinders,2,124957.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,white,10,nv,33
14704,14704,20995,2011,chevrolet,silverado 2500hd,1823,8 cylinders,2,145840.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,red,8,nv,33
14705,14705,5500,2004,ford,mustang convertible,1503,8 cylinders,2,177000.0,clean,0,automatic,0,rwd,2,mid-size,2,convertible,1,silver,9,nv,33
14706,14706,1000,2007,honda,accord,63,6 cylinders,1,112744.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,black,0,nv,33
14707,14707,7000,2009,ford,crown victoria police p71,534,8 cylinders,2,90000.0,clean,0,automatic,0,rwd,2,full-size,1,sedan,6,black,0,nv,33
14708,14708,10500,2011,toyota,camry,262,4 cylinders,0,101000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,blue,1,nv,33
14709,14709,14900,2008,ford,f550 xl,1181,4 cylinders,0,135905.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,nv,33
14710,14710,17000,2014,ford,edge sel,713,6 cylinders,1,13500.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,black,0,nv,33
14711,14711,2100,2002,toyota,sienna,1772,6 cylinders,1,190543.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,grey,5,nv,33
14712,14712,8900,2012,honda,accord,63,4 cylinders,0,123399.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,nv,33
14713,14713,3500,2003,ford,mustang gt premium,1518,8 cylinders,2,164000.0,clean,0,manual,1,rwd,2,sub-compact,3,coupe,2,red,8,nv,33
14714,14714,13900,2009,chevrolet,silverado 1500,1798,6 cylinders,1,97000.0,clean,0,automatic,0,rwd,2,mid-size,2,coupe,2,silver,9,nv,33
14715,14715,7000,2010,toyota,prius,1604,4 cylinders,0,138000.0,clean,0,automatic,0,fwd,1,compact,0,hatchback,3,silver,9,nv,33
14716,14716,1000,2007,honda,accord,63,6 cylinders,1,112744.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,black,0,nv,33
14717,14717,16600,2016,ford,fusion titanium,1332,4 cylinders,0,40561.0,lien,1,automatic,0,fwd,1,mid-size,2,sedan,6,silver,9,nv,33
14718,14718,12000,2008,chevrolet,tahoe,1986,8 cylinders,2,173000.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,blue,1,nv,33
14719,14719,3500,2004,ford,explorer,870,6 cylinders,1,200000.0,clean,0,other,2,fwd,1,mid-size,2,SUV,0,black,0,nv,33
14720,14720,20999,2003,chevrolet,corvette,468,8 cylinders,2,68392.0,clean,0,manual,1,rwd,2,full-size,1,SUV,0,white,10,nv,33
14721,14721,12999,2012,ford,transit connect wagon,2100,4 cylinders,0,109490.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,silver,9,nv,33
14722,14722,12999,2005,toyota,sequoia,1758,8 cylinders,2,138189.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,grey,5,nv,33
14723,14723,16999,2012,ford,super duty f-250 srw,1931,8 cylinders,2,160264.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,nv,33
