,index,price,year,manufacturer,model,nummodel,cylinders,numcylinders,odometer,title_status,numtitle_status,transmission,numtransmission,drive,numdrive,size,numsize,type,numtype,paint_color,numpaint_color,state,numstate
0,0,19900,2004,ford,f250 super duty,1132,8 cylinders,2,88000.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,blue,1,al,1
1,1,14000,2012,honda,odyssey,1540,6 cylinders,1,95000.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,silver,9,al,1
2,2,21250,2002,ford,thunderbird,2046,8 cylinders,2,15996.0,clean,0,automatic,0,fwd,1,compact,0,convertible,1,yellow,11,al,1
3,3,4000,2002,toyota,echo,675,4 cylinders,0,155000.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,blue,1,al,1
4,4,3000,2004,chevrolet,blazer,212,6 cylinders,1,131500.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,white,10,al,1
5,5,2500,2008,honda,accord,63,6 cylinders,1,204561.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,al,1
6,6,1200,2005,chevrolet,impala,1403,4 cylinders,0,256806.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,blue,1,al,1
7,7,17000,2019,chevrolet,trax,2145,4 cylinders,0,14898.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,grey,5,al,1
8,8,8900,2013,toyota,prius,1604,4 cylinders,0,142900.0,clean,0,automatic,0,fwd,1,mid-size,2,wagon,8,blue,1,al,1
9,9,4000,2002,toyota,camry,262,4 cylinders,0,160000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
10,10,10800,2013,toyota,camry,262,4 cylinders,0,147000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
11,11,1500,2005,toyota,solara,1867,4 cylinders,0,222100.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,al,1
12,12,9500,2014,toyota,prius v hybrid,1651,4 cylinders,0,136128.0,clean,0,automatic,0,fwd,1,mid-size,2,hatchback,3,white,10,al,1
13,13,3200,2006,chevrolet,trailblazer,2059,6 cylinders,1,178762.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,grey,5,al,1
14,14,24888,2019,ford,f150 regular cab xl,1062,6 cylinders,1,8176.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
15,15,16888,2008,toyota,fj cruiser 4x4,1223,6 cylinders,1,188096.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,yellow,11,al,1
16,16,11500,2008,ford,f-250 super duty xl,1014,8 cylinders,2,283356.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
17,17,14700,2015,honda,cr-v ex-l,494,4 cylinders,0,70672.0,salvage,5,automatic,0,4wd,0,compact,0,SUV,0,brown,2,al,1
18,18,6900,2008,ford,escape hev,774,4 cylinders,0,103550.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,white,10,al,1
19,19,10900,2010,honda,accord crosstour exl,81,6 cylinders,1,97804.0,clean,0,automatic,0,fwd,1,full-size,1,wagon,8,grey,5,al,1
20,20,16888,2008,toyota,fj cruiser 4x4,1223,6 cylinders,1,188096.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,yellow,11,al,1
21,21,16888,2008,toyota,fj cruiser 4x4,1223,6 cylinders,1,188096.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,yellow,11,al,1
22,22,8500,2011,toyota,camry,262,4 cylinders,0,114500.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,blue,1,al,1
23,23,4500,2005,toyota,camry xle,303,4 cylinders,0,170000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
24,24,24888,2019,ford,f150 regular cab xl,1062,6 cylinders,1,8176.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
25,25,11500,2013,chevrolet,express,911,8 cylinders,2,228699.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
26,26,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
27,27,17200,2014,ford,transit connect,2090,4 cylinders,0,45026.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
28,28,23900,2017,ford,transit 150,2078,6 cylinders,1,108482.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
29,29,22300,2017,ford,transit 150,2078,6 cylinders,1,113617.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
30,30,26900,2019,ford,f150 regular cab xl,1062,6 cylinders,1,8176.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
31,31,4000,2014,chevrolet,sonic lt,1877,4 cylinders,0,135000.0,clean,0,manual,1,fwd,1,compact,0,sedan,6,silver,9,al,1
32,32,2595,2003,ford,f-150,951,8 cylinders,2,149055.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,red,8,al,1
33,33,20000,2010,toyota,4runner limited,40,6 cylinders,1,113750.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,silver,9,al,1
34,34,10750,2006,toyota,tacoma,1947,6 cylinders,1,223160.0,clean,0,automatic,0,rwd,2,mid-size,2,pickup,5,red,8,al,1
35,35,21790,2016,chevrolet,silverado 1500 lt,1809,6 cylinders,1,100662.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
36,36,19900,2014,toyota,4runner 4wd,37,6 cylinders,1,231000.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,silver,9,al,1
37,37,18990,2010,ford,econoline cargo van,679,8 cylinders,2,32988.0,clean,0,automatic,0,rwd,2,mid-size,2,van,7,white,10,al,1
38,38,13900,2013,honda,cr-v lx,505,4 cylinders,0,86933.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,blue,1,al,1
39,39,11700,2007,chevrolet,silverado classic,1842,8 cylinders,2,155000.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,black,0,al,1
40,40,6500,2003,chevrolet,tahoe z71,2014,8 cylinders,2,245700.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,silver,9,al,1
41,41,20900,2016,toyota,avalon,182,6 cylinders,1,100318.0,clean,0,automatic,0,rwd,2,full-size,1,sedan,6,silver,9,al,1
42,42,6599,2010,toyota,sienna xle,1790,6 cylinders,1,174000.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,brown,2,al,1
43,43,4000,2002,toyota,camry,262,4 cylinders,0,160000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
44,44,5600,2008,toyota,camry,262,4 cylinders,0,133244.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
45,45,21900,2011,chevrolet,camaro 2ss,241,8 cylinders,2,93096.0,clean,0,automatic,0,rwd,2,full-size,1,convertible,1,blue,1,al,1
46,46,7950,2007,chevrolet,tahoe lt,2000,8 cylinders,2,208000.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,grey,5,al,1
47,47,3500,2003,honda,accord,63,4 cylinders,0,201580.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,grey,5,al,1
48,48,16900,2014,ford,transit connect,2090,4 cylinders,0,35173.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
49,49,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
50,50,19900,2004,chevrolet,ssr,1896,8 cylinders,2,72333.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,silver,9,al,1
51,51,6950,2002,ford,f350 super duty,1161,8 cylinders,2,240000.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
52,52,4795,2001,chevrolet,silverado,1797,8 cylinders,2,141005.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,black,0,al,1
53,53,6950,2008,honda,civic exl,366,4 cylinders,0,135000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,silver,9,al,1
54,54,5950,2008,honda,accord,63,4 cylinders,0,190000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
55,55,6350,2013,toyota,corolla le,443,4 cylinders,0,184000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,silver,9,al,1
56,56,4800,2010,chevrolet,malibu ls,1458,4 cylinders,0,155071.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
57,57,17990,2018,ford,edge sel,713,6 cylinders,1,101000.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,blue,1,al,1
58,58,5800,2012,ford,escape,768,4 cylinders,0,160000.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,silver,9,al,1
59,59,4500,2006,honda,civic,342,4 cylinders,0,170000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,al,1
60,60,4200,2007,honda,odyssey,1540,6 cylinders,1,195000.0,clean,0,automatic,0,fwd,1,mid-size,2,mini-van,4,green,4,al,1
61,61,5500,2008,ford,focus,1237,6 cylinders,1,115000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,green,4,al,1
62,62,9800,2007,chevrolet,tahoe,1986,6 cylinders,1,220780.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,al,1
63,63,5500,2007,toyota,yaris,2219,4 cylinders,0,51000.0,clean,0,manual,1,fwd,1,compact,0,hatchback,3,blue,1,al,1
64,64,20300,2017,ford,transit 150,2078,6 cylinders,1,141625.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
65,65,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
66,66,17900,2011,chevrolet,camaro ss,251,8 cylinders,2,133847.0,clean,0,manual,1,rwd,2,full-size,1,coupe,2,white,10,al,1
67,67,7450,2004,toyota,4runner sr5,48,6 cylinders,1,218000.0,clean,0,automatic,0,rwd,2,mid-size,2,SUV,0,grey,5,al,1
68,68,9950,2010,ford,e250,642,8 cylinders,2,177000.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
69,69,4000,2002,toyota,corolla le,443,4 cylinders,0,125000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
70,70,4200,2007,honda,odyssey,1540,6 cylinders,1,195000.0,clean,0,automatic,0,fwd,1,mid-size,2,mini-van,4,green,4,al,1
71,71,6000,2010,chevrolet,cobalt,406,6 cylinders,1,80000.0,clean,0,automatic,0,fwd,1,compact,0,coupe,2,red,8,al,1
72,72,5500,2008,ford,focus,1237,6 cylinders,1,115000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,red,8,al,1
73,73,21250,2002,ford,thunderbird,2046,8 cylinders,2,15996.0,clean,0,automatic,0,fwd,1,compact,0,convertible,1,yellow,11,al,1
74,74,21250,2002,ford,thunderbird,2046,8 cylinders,2,15996.0,clean,0,automatic,0,fwd,1,compact,0,convertible,1,yellow,11,al,1
75,75,2950,2004,ford,taurus,2017,6 cylinders,1,193049.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,silver,9,al,1
76,76,16900,2015,chevrolet,traverse l t,2132,6 cylinders,1,71363.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,grey,5,al,1
77,77,24500,2010,toyota,tundra crewmax,2163,8 cylinders,2,81100.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,silver,9,al,1
78,78,2000,2005,ford,five hundred,1213,6 cylinders,1,165000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,black,0,al,1
79,79,1800,2002,ford,sport trac,1891,6 cylinders,1,280000.0,clean,0,automatic,0,rwd,2,mid-size,2,pickup,5,white,10,al,1
80,80,7000,2013,ford,fusion se,1312,4 cylinders,0,150000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,blue,1,al,1
81,81,21990,2018,chevrolet,express 2500,915,6 cylinders,1,69000.0,clean,0,automatic,0,rwd,2,full-size,1,sedan,6,white,10,al,1
82,82,21250,2002,ford,thunderbird,2046,8 cylinders,2,15962.0,clean,0,automatic,0,fwd,1,compact,0,convertible,1,yellow,11,al,1
83,83,16350,2013,ford,econoline cargo,678,8 cylinders,2,83000.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
84,84,16500,2013,ford,escape sel,798,4 cylinders,0,51500.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,red,8,al,1
85,85,11750,2011,chevrolet,tahoe,1986,8 cylinders,2,170000.0,lien,1,automatic,0,rwd,2,full-size,1,SUV,0,grey,5,al,1
86,86,15990,2013,ford,explorer,870,6 cylinders,1,87000.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,red,8,al,1
87,87,25500,2016,ford,explorer,870,6 cylinders,1,98000.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,white,10,al,1
88,88,9990,2013,ford,escape se 4wd,788,4 cylinders,0,111000.0,clean,0,automatic,0,4wd,0,sub-compact,3,SUV,0,white,10,al,1
89,89,21250,2002,ford,thunderbird,2046,8 cylinders,2,15962.0,clean,0,automatic,0,fwd,1,compact,0,convertible,1,yellow,11,al,1
90,90,17000,2019,chevrolet,impala lt,1415,4 cylinders,0,39000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,al,1
91,91,19000,2011,chevrolet,silverado 1500,1798,8 cylinders,2,187700.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,white,10,al,1
92,92,6900,2010,chevrolet,malibu lt,1461,6 cylinders,1,143978.0,clean,0,automatic,0,4wd,0,full-size,1,sedan,6,white,10,al,1
93,93,9500,2010,honda,pilot ex,1575,6 cylinders,1,166129.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,red,8,al,1
94,94,4500,2006,ford,expedition,833,8 cylinders,2,243000.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,red,8,al,1
95,95,7000,2011,ford,escape,768,4 cylinders,0,126000.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,blue,1,al,1
96,96,1000,2006,toyota,camry,262,4 cylinders,0,250000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,al,1
97,97,6500,2003,chevrolet,tahoe,1986,8 cylinders,2,257000.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,silver,9,al,1
98,98,11000,2014,chevrolet,equinox lt,757,8 cylinders,2,143000.0,clean,0,manual,1,rwd,2,full-size,1,SUV,0,grey,5,al,1
99,99,5500,2008,ford,mustang gt premium,1518,8 cylinders,2,150000.0,lien,1,manual,1,rwd,2,compact,0,coupe,2,black,0,al,1
100,100,21250,2002,ford,thunderbird deluxe,2048,8 cylinders,2,15962.0,clean,0,automatic,0,fwd,1,compact,0,convertible,1,yellow,11,al,1
101,101,7850,2014,toyota,corolla,433,4 cylinders,0,87321.0,rebuilt,4,automatic,0,fwd,1,compact,0,sedan,6,silver,9,al,1
102,102,2500,2003,honda,accord ex,82,4 cylinders,0,277958.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,silver,9,al,1
103,103,6800,2012,toyota,corolla,433,4 cylinders,0,137454.0,clean,0,manual,1,fwd,1,mid-size,2,sedan,6,blue,1,al,1
104,104,11000,2007,honda,ridgeline,1723,6 cylinders,1,125000.0,clean,0,automatic,0,4wd,0,mid-size,2,pickup,5,silver,9,al,1
105,105,6900,2012,ford,focus se,1246,4 cylinders,0,151000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,al,1
106,106,10495,2013,ford,escape sel,798,4 cylinders,0,109004.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,grey,5,al,1
107,107,8950,2014,toyota,corolla,433,4 cylinders,0,131681.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,grey,5,al,1
108,108,8900,2011,toyota,camry se,281,4 cylinders,0,164000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,al,1
109,109,18600,2015,toyota,sienna xle,1790,6 cylinders,1,114542.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,black,0,al,1
110,110,8950,2014,toyota,corolla,433,4 cylinders,0,131681.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,grey,5,al,1
111,111,8900,2010,honda,accord lx,117,4 cylinders,0,134037.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,grey,5,al,1
112,112,6250,2008,honda,pilot ex-l,1579,6 cylinders,1,150000.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,black,0,al,1
113,113,8700,2014,ford,focus se flex fuel,1251,4 cylinders,0,44000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,al,1
114,114,23990,2010,chevrolet,camaro,236,8 cylinders,2,19000.0,clean,0,manual,1,rwd,2,full-size,1,coupe,2,blue,1,al,1
115,115,6900,2003,ford,ranger edge 4x4,1661,6 cylinders,1,230000.0,clean,0,automatic,0,4wd,0,mid-size,2,pickup,5,white,10,al,1
116,116,29000,2019,toyota,tacoma,1947,6 cylinders,1,29500.0,clean,0,automatic,0,4wd,0,mid-size,2,pickup,5,silver,9,al,1
117,117,4995,2007,toyota,camry,262,4 cylinders,0,166000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,green,4,al,1
118,118,6499,2012,chevrolet,cruze ls,556,4 cylinders,0,138000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,blue,1,al,1
119,119,4800,2004,chevrolet,avalanche,165,8 cylinders,2,226386.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,black,0,al,1
120,120,10900,2011,ford,expedition,833,8 cylinders,2,158371.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,black,0,al,1
121,121,15000,2004,ford,thunderbird,2046,8 cylinders,2,131000.0,clean,0,automatic,0,rwd,2,full-size,1,convertible,1,silver,9,al,1
122,122,27500,2005,chevrolet,corvette z51,479,8 cylinders,2,40000.0,clean,0,automatic,0,rwd,2,mid-size,2,coupe,2,silver,9,al,1
123,123,11500,2013,chevrolet,express,911,8 cylinders,2,228699.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
124,124,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
125,125,17200,2014,ford,transit connect,2090,4 cylinders,0,45026.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
126,126,23900,2017,ford,transit 150,2078,6 cylinders,1,108482.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
127,127,22300,2017,ford,transit 150,2078,6 cylinders,1,113617.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
128,128,12995,2013,toyota,camry se,281,4 cylinders,0,68436.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,red,8,al,1
129,129,16700,2010,chevrolet,tahoe,1986,8 cylinders,2,184222.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,black,0,al,1
130,130,11500,2014,chevrolet,equinox,744,4 cylinders,0,96650.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,custom,3,al,1
131,131,27800,2018,chevrolet,impala,1403,6 cylinders,1,16920.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
132,132,9495,2008,toyota,rav4,1684,4 cylinders,0,144657.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,green,4,al,1
133,133,6900,2003,ford,ranger edge 4x4,1661,6 cylinders,1,247500.0,clean,0,automatic,0,4wd,0,mid-size,2,pickup,5,white,10,al,1
134,134,3300,2009,ford,focus ses,1259,4 cylinders,0,260000.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,silver,9,al,1
135,135,5500,2007,honda,odyssey ex-l,1549,6 cylinders,1,215000.0,rebuilt,4,automatic,0,fwd,1,full-size,1,mini-van,4,grey,5,al,1
136,136,6000,2004,toyota,sequoia sr5,1765,8 cylinders,2,261000.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,grey,5,al,1
137,137,11995,2012,honda,cr-v ex,487,4 cylinders,0,126810.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,blue,1,al,1
138,138,15000,2012,toyota,rav-4,1681,4 cylinders,0,74000.0,clean,0,automatic,0,fwd,1,mid-size,2,wagon,8,silver,9,al,1
139,139,5800,2003,toyota,matrix,1478,4 cylinders,0,162000.0,rebuilt,4,automatic,0,fwd,1,mid-size,2,hatchback,3,grey,5,al,1
140,140,8995,2012,ford,fusion sel,1326,4 cylinders,0,90468.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,black,0,al,1
141,141,12500,2017,toyota,corolla,433,4 cylinders,0,33591.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,black,0,al,1
142,142,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
143,143,16900,2014,ford,transit connect,2090,4 cylinders,0,35173.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
144,144,12500,2017,toyota,corolla,433,4 cylinders,0,33591.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,black,0,al,1
145,145,18500,2016,ford,transit van,2119,6 cylinders,1,92000.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
146,146,8499,2011,toyota,corolla s sedan 4d,454,4 cylinders,0,97318.0,rebuilt,4,automatic,0,fwd,1,full-size,1,sedan,6,grey,5,al,1
147,147,7200,2010,honda,accord ex,82,6 cylinders,1,178000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,red,8,al,1
148,148,12500,2017,toyota,corolla,433,4 cylinders,0,33591.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,black,0,al,1
149,149,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
150,150,20300,2017,ford,transit 150,2078,6 cylinders,1,141625.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
151,151,7999,2010,honda,accord ex-l coupe 2d,101,6 cylinders,1,147909.0,rebuilt,4,automatic,0,fwd,1,full-size,1,coupe,2,black,0,al,1
152,152,10358,2012,honda,accord ex-l sedan 4d,105,6 cylinders,1,112988.0,rebuilt,4,automatic,0,fwd,1,full-size,1,sedan,6,black,0,al,1
153,153,2800,2001,ford,sport trac,1891,6 cylinders,1,225000.0,clean,0,automatic,0,rwd,2,mid-size,2,pickup,5,black,0,al,1
154,154,12500,2017,toyota,corolla,433,4 cylinders,0,33591.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,black,0,al,1
155,155,9950,2010,ford,e250,642,8 cylinders,2,177000.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
156,156,4500,2002,ford,svt focus,1941,4 cylinders,0,190500.0,clean,0,manual,1,fwd,1,compact,0,hatchback,3,red,8,al,1
157,157,5599,2009,toyota,yaris s,2227,4 cylinders,0,73500.0,clean,0,automatic,0,fwd,1,sub-compact,3,hatchback,3,blue,1,al,1
158,158,5599,2010,toyota,camry,262,6 cylinders,1,210500.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,al,1
159,159,28900,2016,chevrolet,tahoe lt 4x4,2004,8 cylinders,2,136589.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,black,0,al,1
160,160,19890,2017,ford,expedition xlt,862,6 cylinders,1,139449.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,white,10,al,1
161,161,9980,2014,ford,escape se,787,4 cylinders,0,124725.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,green,4,al,1
162,162,11950,2012,chevrolet,tahoe,1986,8 cylinders,2,210916.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,white,10,al,1
163,163,5299,2005,ford,expedition,833,8 cylinders,2,205500.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,blue,1,al,1
164,164,15890,2016,chevrolet,express,911,8 cylinders,2,152745.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
165,165,14890,2015,chevrolet,express 2500 cargo van,917,8 cylinders,2,167675.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
166,166,5999,2012,chevrolet,equinox lt,757,6 cylinders,1,158500.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,black,0,al,1
167,167,8599,2014,honda,civic lx,372,4 cylinders,0,106500.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,black,0,al,1
168,168,14590,2016,ford,transit connect xlt,2104,4 cylinders,0,125929.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
169,169,17695,2017,ford,fusion,1300,4 cylinders,0,33896.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
170,170,5950,2004,honda,cr-v,480,6 cylinders,1,209166.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,red,8,al,1
171,171,14950,2016,toyota,sienna le,1777,6 cylinders,1,118000.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,custom,3,al,1
172,172,4000,2005,honda,pilot,1567,6 cylinders,1,215290.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,grey,5,al,1
173,173,9950,2014,ford,flex se,1230,6 cylinders,1,145635.0,clean,0,automatic,0,fwd,1,mid-size,2,mini-van,4,white,10,al,1
174,174,9800,2013,chevrolet,equinox,744,4 cylinders,0,125000.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,custom,3,al,1
175,175,7800,2006,chevrolet,tahoe z71,2014,8 cylinders,2,200000.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,silver,9,al,1
176,176,4500,2002,ford,svt focus,1941,4 cylinders,0,190500.0,clean,0,manual,1,fwd,1,compact,0,hatchback,3,red,8,al,1
177,177,9600,2005,toyota,tundra,2155,8 cylinders,2,217000.0,clean,0,automatic,0,rwd,2,mid-size,2,pickup,5,white,10,al,1
178,178,15299,2017,toyota,camry se,281,4 cylinders,0,60000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
179,179,12000,2011,chevrolet,tahoe,1986,8 cylinders,2,200000.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,brown,2,al,1
180,180,11950,2014,honda,odyssey,1540,6 cylinders,1,141834.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,grey,5,al,1
181,181,4299,2004,ford,econoline cargo van,679,8 cylinders,2,213500.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,blue,1,al,1
182,182,4299,2005,honda,accord,63,4 cylinders,0,206500.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
183,183,5950,2006,toyota,camry xle,303,4 cylinders,0,119817.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
184,184,7950,2010,honda,odyssey,1540,6 cylinders,1,138896.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,blue,1,al,1
185,185,7950,2008,chevrolet,impala lt,1415,6 cylinders,1,84162.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,brown,2,al,1
186,186,19565,2018,honda,civic lx,372,4 cylinders,0,15545.0,clean,0,automatic,0,fwd,1,sub-compact,3,sedan,6,blue,1,al,1
187,187,12777,2013,honda,accord,63,4 cylinders,0,92414.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,al,1
188,188,13677,2014,honda,accord,63,4 cylinders,0,105393.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,grey,5,al,1
