,Country,first_seq,num_seqs,last_seq,variant
1052,Greece,2021-07-02,758,2021-11-17,21I.Delta
1053,Bulgaria,2021-07-02,744,2021-10-28,21I.Delta
1054,Colombia,2021-07-03,77,2021-11-02,21I.Delta
1055,Sint Maarten,2021-07-05,616,2021-10-28,21I.Delta
1056,Saudi Arabia,2021-07-05,3,2021-09-09,21I.Delta
1057,Zambia,2021-07-05,1,2021-07-05,21I.Delta
1058,Ukraine,2021-07-05,32,2021-10-25,21I.Delta
1059,Sierra Leone,2021-07-06,3,2021-09-08,21I.Delta
1060,Guinea,2021-07-07,2,2021-07-16,21I.Delta
1061,Andorra,2021-07-08,4,2021-09-11,21I.Delta
1062,Mozambique,2021-07-09,3,2021-09-01,21I.Delta
1063,Timor-Leste,2021-07-10,1,2021-07-10,21I.Delta
1064,North Macedonia,2021-07-11,6,2021-11-08,21I.Delta
1065,Bonaire,2021-07-12,163,2021-11-09,21I.Delta
1066,Suriname,2021-07-12,13,2021-10-06,21I.Delta
1067,Aruba,2021-07-12,271,2021-10-11,21I.Delta
1068,Morocco,2021-07-12,6,2021-09-07,21I.Delta
1069,Kosovo,2021-07-12,52,2021-10-04,21I.Delta
1070,Montenegro,2021-07-13,5,2021-09-06,21I.Delta
1071,Azerbaijan,2021-07-14,1,2021-07-14,21I.Delta
1072,Jamaica,2021-07-14,13,2021-07-25,21I.Delta
1073,Bahamas,2021-07-17,14,2021-08-08,21I.Delta
1074,Antigua and Barbuda,2021-07-18,2,2021-07-30,21I.Delta
1075,Ecuador,2021-07-18,11,2021-10-02,21I.Delta
1076,Guadeloupe,2021-07-20,15,2021-09-13,21I.Delta
1077,Liechtenstein,2021-07-20,3,2021-10-06,21I.Delta
1078,Brunei,2021-07-21,15,2021-08-17,21I.Delta
1079,Estonia,2021-07-22,180,2021-11-02,21I.Delta
1080,Monaco,2021-07-23,3,2021-08-23,21I.Delta
1081,Uzbekistan,2021-07-23,2,2021-07-23,21I.Delta
1082,Iraq,2021-07-25,2,2021-07-28,21I.Delta
1083,Bosnia and Herzegovina,2021-07-26,5,2021-10-25,21I.Delta
1084,Burundi,2021-07-28,17,2021-07-28,21I.Delta
1085,Trinidad and Tobago,2021-07-30,3,2021-10-12,21I.Delta
1086,Cambodia,2021-07-30,17,2021-09-20,21I.Delta
1087,Ethiopia,2021-08-02,8,2021-08-11,21I.Delta
1088,Serbia,2021-08-03,3,2021-09-01,21I.Delta
1089,Djibouti,2021-08-06,3,2021-09-16,21I.Delta
1090,Dominican Republic,2021-08-16,4,2021-10-12,21I.Delta
1091,Saint Barthélemy,2021-08-17,6,2021-11-02,21I.Delta
1092,Paraguay,2021-08-18,1,2021-08-18,21I.Delta
1093,Cameroon,2021-08-28,3,2021-09-25,21I.Delta
1094,Thailand,2021-08-30,85,2021-11-08,21I.Delta
1095,Egypt,2021-09-04,5,2021-10-21,21I.Delta
1096,Guyana,2021-09-06,11,2021-09-07,21I.Delta
1097,Puerto Rico,2021-09-30,3,2021-10-05,21I.Delta
1098,South Africa,2020-08-17,7031,2021-10-26,20H.Beta.V2
1099,Mozambique,2020-08-22,373,2021-06-22,20H.Beta.V2
1100,Angola,2020-08-25,360,2021-07-29,20H.Beta.V2
1101,United Arab Emirates,2020-08-28,46,2021-05-02,20H.Beta.V2
1102,Zimbabwe,2020-09-01,354,2021-06-25,20H.Beta.V2
1103,Botswana,2020-09-09,361,2021-10-26,20H.Beta.V2
1104,Bangladesh,2020-11-01,419,2021-07-13,20H.Beta.V2
1105,Madagascar,2020-11-03,206,2021-04-26,20H.Beta.V2
1106,Sweden,2020-11-08,2613,2021-08-05,20H.Beta.V2
1107,Switzerland,2020-11-12,331,2021-08-02,20H.Beta.V2
1108,Eswatini,2020-11-13,31,2021-07-09,20H.Beta.V2
1109,Malawi,2020-11-25,335,2021-06-21,20H.Beta.V2
1110,Zambia,2020-12-01,187,2021-06-04,20H.Beta.V2
1111,Malaysia,2020-12-01,212,2021-11-05,20H.Beta.V2
1112,Mauritius,2020-12-06,7,2021-06-17,20H.Beta.V2
1113,United Kingdom,2020-12-10,936,2021-10-13,20H.Beta.V2
1114,Australia,2020-12-10,96,2021-06-30,20H.Beta.V2
1115,Kenya,2020-12-15,217,2021-06-29,20H.Beta.V2
1116,Lesotho,2020-12-16,14,2021-01-18,20H.Beta.V2
1117,Israel,2020-12-17,252,2021-07-15,20H.Beta.V2
1118,Japan,2020-12-19,101,2021-07-30,20H.Beta.V2
1119,Canada,2020-12-19,715,2021-10-27,20H.Beta.V2
1120,Finland,2020-12-19,1114,2021-07-12,20H.Beta.V2
1121,Belgium,2020-12-20,1122,2021-07-31,20H.Beta.V2
1122,Germany,2020-12-21,2280,2021-09-06,20H.Beta.V2
1123,Ireland,2020-12-22,79,2021-07-13,20H.Beta.V2
1124,Netherlands,2020-12-22,689,2021-10-11,20H.Beta.V2
1125,France,2020-12-22,6168,2021-10-12,20H.Beta.V2
1126,Austria,2020-12-23,268,2021-09-01,20H.Beta.V2
1127,Spain,2020-12-24,1577,2021-08-28,20H.Beta.V2
1128,South Korea,2020-12-26,37,2021-07-31,20H.Beta.V2
1129,Norway,2020-12-27,411,2021-07-12,20H.Beta.V2
1130,Hong Kong,2020-12-27,88,2021-06-04,20H.Beta.V2
1131,Rwanda,2020-12-28,51,2021-07-07,20H.Beta.V2
1132,Qatar,2020-12-29,627,2021-06-07,20H.Beta.V2
1133,New Zealand,2020-12-29,27,2021-06-27,20H.Beta.V2
1134,India,2020-12-30,227,2021-06-29,20H.Beta.V2
1135,China,2020-12-31,2,2021-04-26,20H.Beta.V2
1136,USA,2021-01-01,3079,2021-09-22,20H.Beta.V2
1137,Portugal,2021-01-02,118,2021-07-19,20H.Beta.V2
1138,Denmark,2021-01-04,130,2021-07-19,20H.Beta.V2
1139,Union of the Comoros,2021-01-05,6,2021-01-10,20H.Beta.V2
1140,Cameroon,2021-01-05,11,2021-09-17,20H.Beta.V2
1141,Ghana,2021-01-06,24,2021-05-07,20H.Beta.V2
1142,Luxembourg,2021-01-09,913,2021-07-06,20H.Beta.V2
1143,Panama,2021-01-11,2,2021-01-12,20H.Beta.V2
1144,Equatorial Guinea,2021-01-12,49,2021-08-27,20H.Beta.V2
1145,Greece,2021-01-14,59,2021-07-25,20H.Beta.V2
1146,Russia,2021-01-19,29,2021-06-12,20H.Beta.V2
1147,Brunei,2021-01-20,1,2021-01-20,20H.Beta.V2
1148,Turkey,2021-01-21,690,2021-08-07,20H.Beta.V2
1149,Democratic Republic of the Congo,2021-01-22,15,2021-06-20,20H.Beta.V2
1150,Indonesia,2021-01-25,22,2021-06-02,20H.Beta.V2
1151,Oman,2021-01-27,7,2021-04-23,20H.Beta.V2
1152,Italy,2021-01-29,104,2021-08-05,20H.Beta.V2
1153,Philippines,2021-01-31,3210,2021-08-22,20H.Beta.V2
1154,Guinea-Bissau,2021-02-01,1,2021-02-01,20H.Beta.V2
1155,Gabon,2021-02-01,5,2021-04-11,20H.Beta.V2
1156,Togo,2021-02-03,5,2021-04-01,20H.Beta.V2
1157,Thailand,2021-02-03,85,2021-09-14,20H.Beta.V2
1158,Nigeria,2021-02-05,3,2021-07-26,20H.Beta.V2
1159,Seychelles,2021-02-05,29,2021-06-01,20H.Beta.V2
1160,Singapore,2021-02-07,204,2021-07-10,20H.Beta.V2
1161,Poland,2021-02-08,47,2021-07-10,20H.Beta.V2
1162,Slovakia,2021-02-08,31,2021-06-27,20H.Beta.V2
1163,Croatia,2021-02-09,35,2021-04-24,20H.Beta.V2
1164,Slovenia,2021-02-09,30,2021-03-20,20H.Beta.V2
1165,Costa Rica,2021-02-10,13,2021-07-08,20H.Beta.V2
1166,Central African Republic,2021-02-11,1,2021-02-11,20H.Beta.V2
1167,Uganda,2021-02-13,15,2021-06-14,20H.Beta.V2
1168,Czech Republic,2021-02-16,77,2021-08-31,20H.Beta.V2
1169,Estonia,2021-02-17,37,2021-04-23,20H.Beta.V2
1170,Monaco,2021-02-22,1,2021-02-22,20H.Beta.V2
1171,Ethiopia,2021-02-22,4,2021-05-27,20H.Beta.V2
1172,Guadeloupe,2021-02-23,4,2021-05-25,20H.Beta.V2
1173,Aruba,2021-02-25,4,2021-04-10,20H.Beta.V2
1174,Iceland,2021-02-28,3,2021-07-19,20H.Beta.V2
1175,Somalia,2021-02-28,4,2021-02-28,20H.Beta.V2
1176,Sri Lanka,2021-03-02,7,2021-07-10,20H.Beta.V2
1177,Lithuania,2021-03-02,10,2021-04-09,20H.Beta.V2
1178,Côte d'Ivoire,2021-03-06,4,2021-04-13,20H.Beta.V2
1179,Brazil,2021-03-07,10,2021-08-12,20H.Beta.V2
1180,Jordan,2021-03-07,5,2021-04-18,20H.Beta.V2
1181,Latvia,2021-03-08,10,2021-07-01,20H.Beta.V2
1182,North Macedonia,2021-03-10,1,2021-03-10,20H.Beta.V2
1183,Djibouti,2021-03-15,131,2021-05-07,20H.Beta.V2
1184,Pakistan,2021-03-15,81,2021-07-22,20H.Beta.V2
1185,Namibia,2021-03-17,51,2021-06-17,20H.Beta.V2
1186,Suriname,2021-03-19,5,2021-03-31,20H.Beta.V2
1187,Sint Maarten,2021-03-24,1,2021-03-24,20H.Beta.V2
1188,Romania,2021-03-24,8,2021-05-26,20H.Beta.V2
1189,Taiwan,2021-03-24,5,2021-04-26,20H.Beta.V2
1190,Sudan,2021-03-27,12,2021-03-29,20H.Beta.V2
1191,Liberia,2021-03-31,6,2021-05-20,20H.Beta.V2
1192,South Sudan,2021-03-31,3,2021-04-29,20H.Beta.V2
1193,Iran,2021-04-03,2,2021-04-03,20H.Beta.V2
1194,Mexico,2021-04-03,19,2021-05-16,20H.Beta.V2
1195,Bahrain,2021-04-04,12,2021-06-18,20H.Beta.V2
1196,Chile,2021-04-06,4,2021-06-23,20H.Beta.V2
1197,Malta,2021-04-09,3,2021-06-01,20H.Beta.V2
1198,Saudi Arabia,2021-04-15,14,2021-06-11,20H.Beta.V2
1199,Guatemala,2021-04-19,1,2021-04-19,20H.Beta.V2
1200,Argentina,2021-04-24,1,2021-04-24,20H.Beta.V2
1201,Tunisia,2021-04-24,4,2021-05-28,20H.Beta.V2
1202,Georgia,2021-05-23,1,2021-05-23,20H.Beta.V2
1203,Benin,2021-05-23,1,2021-05-23,20H.Beta.V2
1204,Burundi,2021-05-27,5,2021-05-31,20H.Beta.V2
1205,Cambodia,2021-05-31,1,2021-05-31,20H.Beta.V2
1206,Bulgaria,2021-06-09,3,2021-07-01,20H.Beta.V2
1207,Morocco,2021-06-17,1,2021-06-17,20H.Beta.V2
1208,Andorra,2021-07-15,2,2021-07-19,20H.Beta.V2
1209,Japan,2021-06-11,4,2021-08-21,Delta.299I
1210,Morocco,2021-06-20,42,2021-10-23,Delta.299I
1211,Israel,2021-06-28,14,2021-09-02,Delta.299I
1212,Netherlands,2021-06-30,466,2021-11-17,Delta.299I
1213,Ghana,2021-06-30,1,2021-06-30,Delta.299I
1214,Belgium,2021-07-03,1146,2021-11-23,Delta.299I
1215,Germany,2021-07-04,699,2021-11-17,Delta.299I
1216,United Kingdom,2021-07-05,290,2021-11-22,Delta.299I
1217,France,2021-07-06,1071,2021-11-20,Delta.299I
1218,Canada,2021-07-08,134,2021-10-20,Delta.299I
1219,Italy,2021-07-09,165,2021-11-10,Delta.299I
1220,Spain,2021-07-14,308,2021-11-09,Delta.299I
1221,Switzerland,2021-07-15,106,2021-10-27,Delta.299I
1222,Sweden,2021-07-16,91,2021-11-18,Delta.299I
1223,South Korea,2021-07-20,40,2021-10-21,Delta.299I
1224,Denmark,2021-07-20,493,2021-11-05,Delta.299I
1225,USA,2021-07-20,396,2021-11-20,Delta.299I
1226,Ireland,2021-07-27,2,2021-08-04,Delta.299I
1227,Austria,2021-07-27,2,2021-08-28,Delta.299I
1228,Finland,2021-07-28,5,2021-08-31,Delta.299I
1229,Norway,2021-08-02,86,2021-10-25,Delta.299I
1230,Romania,2021-08-04,1,2021-08-04,Delta.299I
1231,Estonia,2021-08-12,13,2021-09-17,Delta.299I
1232,Iceland,2021-08-12,1,2021-08-12,Delta.299I
1233,Qatar,2021-08-13,14,2021-09-17,Delta.299I
1234,Portugal,2021-08-16,16,2021-11-16,Delta.299I
1235,Singapore,2021-08-18,1,2021-08-18,Delta.299I
1236,Chile,2021-08-23,1,2021-08-23,Delta.299I
1237,Hong Kong,2021-08-26,1,2021-08-26,Delta.299I
1238,Slovenia,2021-08-30,2,2021-08-31,Delta.299I
1239,Lithuania,2021-09-03,1,2021-09-03,Delta.299I
1240,Turkey,2021-09-10,1,2021-09-10,Delta.299I
1241,Mexico,2021-09-13,3,2021-09-23,Delta.299I
1242,Poland,2021-09-16,6,2021-10-26,Delta.299I
1243,Bahrain,2021-10-08,3,2021-10-26,Delta.299I
1244,Curacao,2021-11-06,1,2021-11-06,Delta.299I
1245,Croatia,2021-11-09,1,2021-11-09,Delta.299I
1246,Canada,2021-04-02,7386,2021-09-13,Delta.N.412R
1247,USA,2021-07-12,19,2021-09-29,Delta.N.412R
1248,United Kingdom,2021-08-09,5,2021-09-29,Delta.N.412R
1249,Norway,2021-08-18,1,2021-08-18,Delta.N.412R
1250,India,2021-08-27,1,2021-08-27,Delta.N.412R
1251,Netherlands,2021-09-08,3,2021-09-14,Delta.N.412R
1252,Switzerland,2021-09-15,1,2021-09-15,Delta.N.412R
1253,Spain,2020-11-18,248,2021-11-19,Delta.ORF1a3059F
1254,Gambia,2021-02-08,163,2021-08-23,Delta.ORF1a3059F
1255,Senegal,2021-04-02,28,2021-10-25,Delta.ORF1a3059F
1256,Belgium,2021-06-04,573,2021-11-26,Delta.ORF1a3059F
1257,Austria,2021-06-23,157,2021-11-02,Delta.ORF1a3059F
1258,Italy,2021-06-23,240,2021-11-20,Delta.ORF1a3059F
1259,Germany,2021-06-28,940,2021-11-12,Delta.ORF1a3059F
1260,USA,2021-06-28,831,2021-11-19,Delta.ORF1a3059F
1261,Togo,2021-06-29,4,2021-07-31,Delta.ORF1a3059F
1262,France,2021-06-29,2502,2021-11-18,Delta.ORF1a3059F
1263,United Kingdom,2021-07-04,2067,2021-11-24,Delta.ORF1a3059F
1264,Lebanon,2021-07-06,3,2021-07-08,Delta.ORF1a3059F
1265,Japan,2021-07-06,22,2021-10-14,Delta.ORF1a3059F
1266,Netherlands,2021-07-07,142,2021-11-14,Delta.ORF1a3059F
1267,Switzerland,2021-07-09,360,2021-11-20,Delta.ORF1a3059F
1268,Croatia,2021-07-09,7,2021-11-09,Delta.ORF1a3059F
1269,Ireland,2021-07-12,116,2021-11-06,Delta.ORF1a3059F
1270,Brazil,2021-07-12,875,2021-11-12,Delta.ORF1a3059F
1271,Australia,2021-07-12,1,2021-07-12,Delta.ORF1a3059F
1272,India,2021-07-13,1,2021-07-13,Delta.ORF1a3059F
1273,Bulgaria,2021-07-16,1,2021-07-16,Delta.ORF1a3059F
1274,Canada,2021-07-16,45,2021-10-06,Delta.ORF1a3059F
1275,Denmark,2021-07-16,231,2021-11-22,Delta.ORF1a3059F
1276,Lithuania,2021-07-18,24,2021-11-03,Delta.ORF1a3059F
1277,Benin,2021-07-18,2,2021-07-18,Delta.ORF1a3059F
1278,Estonia,2021-07-21,1,2021-07-21,Delta.ORF1a3059F
1279,Czech Republic,2021-07-22,29,2021-10-17,Delta.ORF1a3059F
1280,Bosnia and Herzegovina,2021-07-22,1,2021-07-22,Delta.ORF1a3059F
1281,Iceland,2021-07-23,8,2021-08-15,Delta.ORF1a3059F
1282,Israel,2021-07-23,7,2021-11-04,Delta.ORF1a3059F
1283,Slovakia,2021-07-23,12,2021-11-05,Delta.ORF1a3059F
1284,Sweden,2021-07-24,349,2021-11-19,Delta.ORF1a3059F
1285,South Korea,2021-07-26,4,2021-07-30,Delta.ORF1a3059F
1286,Portugal,2021-07-26,70,2021-11-15,Delta.ORF1a3059F
1287,Guadeloupe,2021-07-27,4,2021-08-17,Delta.ORF1a3059F
1288,Republic of the Congo,2021-07-27,6,2021-10-25,Delta.ORF1a3059F
1289,Kosovo,2021-07-28,2,2021-09-07,Delta.ORF1a3059F
1290,Finland,2021-07-31,88,2021-10-18,Delta.ORF1a3059F
1291,Norway,2021-07-31,1,2021-07-31,Delta.ORF1a3059F
1292,Luxembourg,2021-08-02,12,2021-10-22,Delta.ORF1a3059F
1293,Egypt,2021-08-04,1,2021-08-04,Delta.ORF1a3059F
1294,Romania,2021-08-04,15,2021-11-03,Delta.ORF1a3059F
1295,Colombia,2021-08-04,2,2021-10-21,Delta.ORF1a3059F
1296,Ghana,2021-08-07,2,2021-08-16,Delta.ORF1a3059F
1297,Mali,2021-08-11,2,2021-08-11,Delta.ORF1a3059F
1298,Slovenia,2021-08-13,8,2021-09-30,Delta.ORF1a3059F
1299,Turkey,2021-08-20,6,2021-11-11,Delta.ORF1a3059F
1300,Cameroon,2021-08-21,28,2021-09-25,Delta.ORF1a3059F
1301,Poland,2021-08-24,3,2021-09-10,Delta.ORF1a3059F
1302,Chile,2021-08-30,155,2021-11-13,Delta.ORF1a3059F
1303,Gabon,2021-09-03,12,2021-09-30,Delta.ORF1a3059F
1304,Greece,2021-09-06,5,2021-11-02,Delta.ORF1a3059F
1305,Peru,2021-09-08,11,2021-10-18,Delta.ORF1a3059F
1306,Jordan,2021-09-11,1,2021-09-11,Delta.ORF1a3059F
1307,Suriname,2021-09-29,1,2021-09-29,Delta.ORF1a3059F
1308,Mauritius,2021-10-01,1,2021-10-01,Delta.ORF1a3059F
1309,Dominican Republic,2021-10-14,2,2021-10-16,Delta.ORF1a3059F
1310,Indonesia,2021-10-24,1,2021-10-24,Delta.ORF1a3059F
1311,Ukraine,2021-10-25,1,2021-10-25,Delta.ORF1a3059F
1312,Costa Rica,2021-10-25,1,2021-10-25,Delta.ORF1a3059F
1313,Liechtenstein,2021-11-06,1,2021-11-06,Delta.ORF1a3059F
1314,Mexico,2020-10-13,7370,2021-11-01,20B.S.732A
1315,USA,2020-11-05,13028,2021-09-17,20B.S.732A
1316,Argentina,2020-11-08,44,2021-05-19,20B.S.732A
1317,Switzerland,2020-11-29,160,2021-05-15,20B.S.732A
1318,Canada,2020-12-01,1149,2021-06-21,20B.S.732A
1319,Japan,2020-12-06,3,2021-07-02,20B.S.732A
1320,United Kingdom,2020-12-12,20,2021-04-17,20B.S.732A
1321,Belize,2020-12-27,4,2021-03-09,20B.S.732A
1322,Kosovo,2020-12-27,1,2020-12-27,20B.S.732A
1323,Denmark,2020-12-28,187,2021-05-24,20B.S.732A
1324,Costa Rica,2021-01-01,5,2021-04-14,20B.S.732A
1325,Chile,2021-01-03,7,2021-04-08,20B.S.732A
1326,Luxembourg,2021-01-07,3,2021-05-14,20B.S.732A
1327,United Arab Emirates,2021-01-08,1,2021-01-08,20B.S.732A
1328,Sweden,2021-01-09,3,2021-02-18,20B.S.732A
1329,France,2021-01-09,44,2021-05-20,20B.S.732A
1330,Venezuela,2021-01-09,1,2021-01-09,20B.S.732A
1331,Israel,2021-01-10,6,2021-01-20,20B.S.732A
1332,Brazil,2021-01-11,4,2021-02-10,20B.S.732A
1333,Spain,2021-01-15,68,2021-05-27,20B.S.732A
1334,Germany,2021-01-20,195,2021-05-26,20B.S.732A
1335,Aruba,2021-01-20,27,2021-04-20,20B.S.732A
1336,Netherlands,2021-01-21,41,2021-03-05,20B.S.732A
1337,Finland,2021-01-25,8,2021-04-03,20B.S.732A
1338,New Zealand,2021-01-28,1,2021-01-28,20B.S.732A
1339,Curacao,2021-02-08,7,2021-03-01,20B.S.732A
1340,Italy,2021-02-11,5,2021-06-09,20B.S.732A
1341,South Korea,2021-02-13,2,2021-02-16,20B.S.732A
1342,Poland,2021-02-20,1,2021-02-20,20B.S.732A
1343,Lithuania,2021-03-18,3,2021-03-21,20B.S.732A
1344,Guatemala,2021-03-19,7,2021-07-01,20B.S.732A
1345,Colombia,2021-03-29,1,2021-03-29,20B.S.732A
1346,Honduras,2021-03-30,1,2021-03-30,20B.S.732A
1347,Philippines,2021-04-02,5,2021-04-11,20B.S.732A
1348,Australia,2021-04-06,6,2021-05-01,20B.S.732A
1349,Iceland,2021-04-20,1,2021-04-20,20B.S.732A
1350,El Salvador,2021-04-29,2,2021-07-23,20B.S.732A
1351,Slovenia,2021-05-25,1,2021-05-25,20B.S.732A
1352,Belgium,2021-06-02,1,2021-06-02,20B.S.732A
1353,Croatia,2021-07-15,2,2021-07-19,20B.S.732A
1354,Canada,2020-03-10,50449,2021-11-23,ORF1a.S3675
1355,Germany,2020-03-15,106790,2021-11-27,ORF1a.S3675
1356,United Kingdom,2020-03-26,263990,2021-11-23,ORF1a.S3675
1357,United Arab Emirates,2020-04-20,434,2021-05-02,ORF1a.S3675
1358,USA,2020-05-02,324168,2021-11-19,ORF1a.S3675
1359,Spain,2020-05-12,26922,2021-11-28,ORF1a.S3675
1360,Colombia,2020-06-03,1198,2021-10-16,ORF1a.S3675
1361,India,2020-06-10,3295,2021-11-03,ORF1a.S3675
1362,Djibouti,2020-06-15,211,2021-05-20,ORF1a.S3675
1363,South Africa,2020-06-15,6942,2021-11-25,ORF1a.S3675
1364,Seychelles,2020-06-25,38,2021-06-08,ORF1a.S3675
1365,Bangladesh,2020-07-01,569,2021-07-13,ORF1a.S3675
1366,Madagascar,2020-07-13,232,2021-04-26,ORF1a.S3675
1367,Australia,2020-07-29,747,2021-11-28,ORF1a.S3675
1368,Indonesia,2020-08-06,456,2021-07-19,ORF1a.S3675
1369,Mozambique,2020-08-22,353,2021-06-22,ORF1a.S3675
1370,Angola,2020-08-25,353,2021-08-28,ORF1a.S3675
1371,Zimbabwe,2020-09-01,330,2021-07-26,ORF1a.S3675
1372,Serbia,2020-09-28,78,2021-07-13,ORF1a.S3675
1373,Sweden,2020-10-08,70451,2021-10-12,ORF1a.S3675
1374,Kenya,2020-10-09,1102,2021-09-23,ORF1a.S3675
1375,Romania,2020-10-11,1723,2021-09-23,ORF1a.S3675
1376,Brazil,2020-10-13,45151,2021-11-25,ORF1a.S3675
1377,France,2020-10-18,40180,2021-11-22,ORF1a.S3675
1378,Ireland,2020-10-28,14255,2021-09-15,ORF1a.S3675
1379,Ghana,2020-10-30,725,2021-08-05,ORF1a.S3675
1380,Switzerland,2020-11-02,21774,2021-11-07,ORF1a.S3675
1381,Slovenia,2020-11-02,8737,2021-08-17,ORF1a.S3675
1382,Luxembourg,2020-11-06,7012,2021-08-12,ORF1a.S3675
1383,Argentina,2020-11-08,3809,2021-11-15,ORF1a.S3675
1384,Russia,2020-11-09,611,2021-09-29,ORF1a.S3675
1385,Portugal,2020-11-09,5410,2021-11-27,ORF1a.S3675
1386,Denmark,2020-11-09,64423,2021-09-13,ORF1a.S3675
1387,Netherlands,2020-11-12,30900,2021-11-26,ORF1a.S3675
1388,Eswatini,2020-11-13,29,2021-07-09,ORF1a.S3675
1389,Israel,2020-11-15,8472,2021-11-20,ORF1a.S3675
1390,Cameroon,2020-11-19,78,2021-09-17,ORF1a.S3675
1391,Mexico,2020-11-20,5459,2021-10-13,ORF1a.S3675
1392,Botswana,2020-11-21,50,2021-11-21,ORF1a.S3675
1393,Austria,2020-11-23,3773,2021-11-28,ORF1a.S3675
1394,Mauritius,2020-11-24,229,2021-10-24,ORF1a.S3675
1395,Malawi,2020-11-25,338,2021-06-21,ORF1a.S3675
1396,Lesotho,2020-11-26,16,2021-01-18,ORF1a.S3675
1397,Slovakia,2020-11-30,3066,2021-08-30,ORF1a.S3675
1398,Belgium,2020-11-30,24473,2021-11-24,ORF1a.S3675
1399,Peru,2020-11-30,5866,2021-11-05,ORF1a.S3675
1400,Japan,2020-12-01,48164,2021-10-05,ORF1a.S3675
1401,Zambia,2020-12-01,191,2021-09-02,ORF1a.S3675
1402,Iceland,2020-12-02,629,2021-07-28,ORF1a.S3675
1403,Hong Kong,2020-12-07,165,2021-11-26,ORF1a.S3675
1404,Italy,2020-12-07,19443,2021-11-28,ORF1a.S3675
1405,Singapore,2020-12-08,421,2021-07-10,ORF1a.S3675
1406,Norway,2020-12-09,14417,2021-10-08,ORF1a.S3675
1407,Albania,2020-12-10,26,2021-07-13,ORF1a.S3675
1408,Philippines,2020-12-10,5987,2021-08-28,ORF1a.S3675
1409,Central African Republic,2020-12-11,45,2021-04-26,ORF1a.S3675
1410,Greece,2020-12-11,6589,2021-09-03,ORF1a.S3675
1411,Senegal,2020-12-11,55,2021-06-10,ORF1a.S3675
1412,Barbados,2020-12-12,51,2021-07-25,ORF1a.S3675
1413,Bulgaria,2020-12-13,3072,2021-09-30,ORF1a.S3675
1414,South Korea,2020-12-14,2825,2021-09-21,ORF1a.S3675
1415,Dominica,2020-12-16,5,2021-04-01,ORF1a.S3675
1416,Czech Republic,2020-12-16,4317,2021-11-26,ORF1a.S3675
1417,Burkina Faso,2020-12-16,29,2021-04-23,ORF1a.S3675
1418,New Zealand,2020-12-16,180,2021-07-03,ORF1a.S3675
1419,Saint Lucia,2020-12-17,37,2021-07-26,ORF1a.S3675
1420,Nigeria,2020-12-17,743,2021-09-06,ORF1a.S3675
1421,Finland,2020-12-18,7999,2021-09-10,ORF1a.S3675
1422,Turkey,2020-12-20,5192,2021-10-11,ORF1a.S3675
1423,Jordan,2020-12-20,161,2021-11-01,ORF1a.S3675
1424,Jamaica,2020-12-21,212,2021-07-18,ORF1a.S3675
1425,Oman,2020-12-22,148,2021-07-06,ORF1a.S3675
1426,Qatar,2020-12-22,873,2021-06-07,ORF1a.S3675
1427,Chile,2020-12-22,6349,2021-11-06,ORF1a.S3675
1428,Poland,2020-12-22,14731,2021-09-27,ORF1a.S3675
1429,Estonia,2020-12-23,3290,2021-07-28,ORF1a.S3675
1430,Bermuda,2020-12-23,2,2021-01-05,ORF1a.S3675
1431,Togo,2020-12-24,148,2021-06-30,ORF1a.S3675
1432,Bosnia and Herzegovina,2020-12-25,83,2021-07-05,ORF1a.S3675
1433,Pakistan,2020-12-25,509,2021-08-25,ORF1a.S3675
1434,Taiwan,2020-12-26,64,2021-07-28,ORF1a.S3675
1435,Dominican Republic,2020-12-27,194,2021-10-15,ORF1a.S3675
1436,Iraq,2020-12-27,88,2021-07-06,ORF1a.S3675
1437,Gabon,2020-12-28,126,2021-09-30,ORF1a.S3675
1438,Cyprus,2020-12-28,10,2021-01-27,ORF1a.S3675
1439,Fiji,2020-12-28,4,2021-04-19,ORF1a.S3675
1440,Rwanda,2020-12-28,73,2021-08-01,ORF1a.S3675
1441,Malaysia,2020-12-28,284,2021-11-05,ORF1a.S3675
1442,Lebanon,2020-12-29,801,2021-07-14,ORF1a.S3675
1443,China,2020-12-31,21,2021-06-15,ORF1a.S3675
1444,Palestine,2020-12-31,1,2020-12-31,ORF1a.S3675
1445,Venezuela,2021-01-01,28,2021-07-03,ORF1a.S3675
1446,Sri Lanka,2021-01-02,456,2021-10-14,ORF1a.S3675
1447,Guinea-Bissau,2021-01-04,32,2021-02-05,ORF1a.S3675
1448,North Macedonia,2021-01-04,304,2021-07-13,ORF1a.S3675
1449,Ecuador,2021-01-04,1259,2021-11-17,ORF1a.S3675
1450,Kosovo,2021-01-05,26,2021-07-29,ORF1a.S3675
1451,Union of the Comoros,2021-01-05,6,2021-01-10,ORF1a.S3675
1452,Gambia,2021-01-06,79,2021-08-14,ORF1a.S3675
1453,Grenada,2021-01-06,4,2021-06-24,ORF1a.S3675
1454,Hungary,2021-01-06,28,2021-02-26,ORF1a.S3675
1455,Thailand,2021-01-08,2023,2021-10-18,ORF1a.S3675
1456,Morocco,2021-01-08,93,2021-07-22,ORF1a.S3675
1457,Iran,2021-01-08,128,2021-07-19,ORF1a.S3675
1458,Vietnam,2021-01-08,11,2021-05-22,ORF1a.S3675
1459,Niger,2021-01-09,8,2021-04-01,ORF1a.S3675
